Year,Department,Total_Admission_Count,SC,GEN-EWS,ST,PwD,OB,GEN,Navsari,Bardoli,Maroli,Surat,Chikhli,Bilimora,Valsad,Dharampur,Vapi,Other_Area
2014,Computer Engineering,75,10,8,5,6,12,34,28,4,2,3,4,6,7,8,6,3
2014,Civil Engineering,80,12,7,6,8,15,32,35,3,4,5,5,7,8,6,4,6
2014,Mechanical Engineering,85,14,9,5,7,14,36,30,5,3,4,6,8,9,7,5,6
2014,Electrical Engineering,70,8,6,4,5,10,30,24,3,2,3,4,5,6,5,4,4
2014,Chemical Engineering,65,7,5,3,4,11,25,20,2,2,3,3,4,5,4,3,4
2015,Computer Engineering,70,9,7,4,5,11,34,25,5,2,3,4,5,6,4,3,3
2015,Civil Engineering,75,10,8,5,6,12,32,30,4,3,4,5,6,7,5,4,4
2015,Mechanical Engineering,85,14,9,5,7,14,36,30,5,3,4,6,8,9,7,5,6
2015,Electrical Engineering,75,9,7,4,5,11,33,26,4,3,3,4,5,6,5,4,3
2015,Chemical Engineering,65,7,5,3,4,11,25,20,2,2,3,3,4,5,4,3,4
2016,Computer Engineering,75,10,8,5,6,12,34,28,4,2,3,4,6,7,8,6,3
2016,Civil Engineering,80,12,7,6,8,15,32,35,3,4,5,5,7,8,6,4,6
2016,Mechanical Engineering,85,14,9,5,7,14,36,30,5,3,4,6,8,9,7,5,6
2016,Electrical Engineering,70,8,6,4,5,10,30,24,3,2,3,4,5,6,5,4,4
2016,Chemical Engineering,65,7,5,3,4,11,25,20,2,2,3,3,4,5,4,3,4
2017,Computer Engineering,70,9,7,4,5,11,34,25,5,2,3,4,5,6,4,3,3
2017,Civil Engineering,75,10,8,5,6,12,32,30,4,3,4,5,6,7,5,4,4
2017,Mechanical Engineering,85,14,9,5,7,14,36,30,5,3,4,6,8,9,7,5,6
2017,Electrical Engineering,75,9,7,4,5,11,33,26,4,3,3,4,5,6,5,4,3
2017,Chemical Engineering,65,7,5,3,4,11,25,20,2,2,3,3,4,5,4,3,4
2018,Computer Engineering,75,10,8,5,6,12,34,28,4,2,3,4,6,7,8,6,3
2018,Civil Engineering,80,12,7,6,8,15,32,35,3,4,5,5,7,8,6,4,6
2018,Mechanical Engineering,85,14,9,5,7,14,36,30,5,3,4,6,8,9,7,5,6
2018,Electrical Engineering,70,8,6,4,5,10,30,24,3,2,3,4,5,6,5,4,4
2018,Chemical Engineering,65,7,5,3,4,11,25,20,2,2,3,3,4,5,4,3,4
2019,Computer Engineering,70,9,7,4,5,11,34,25,5,2,3,4,5,6,4,3,3
2019,Civil Engineering,75,10,8,5,6,12,32,30,4,3,4,5,6,7,5,4,4
2019,Mechanical Engineering,85,14,9,5,7,14,36,30,5,3,4,6,8,9,7,5,6
2019,Electrical Engineering,75,9,7,4,5,11,33,26,4,3,3,4,5,6,5,4,3
2019,Chemical Engineering,65,7,5,3,4,11,25,20,2,2,3,3,4,5,4,3,4
2020,Computer Engineering,75,10,8,5,6,12,34,28,4,2,3,4,6,7,8,6,3
2020,Civil Engineering,80,12,7,6,8,15,32,35,3,4,5,5,7,8,6,4,6
2020,Mechanical Engineering,85,14,9,5,7,14,36,30,5,3,4,6,8,9,7,5,6
2020,Electrical Engineering,70,8,6,4,5,10,30,24,3,2,3,4,5,6,5,4,4
2020,Chemical Engineering,65,7,5,3,4,11,25,20,2,2,3,3,4,5,4,3,4
2021,Computer Engineering,70,9,7,4,5,11,34,25,5,2,3,4,5,6,4,3,3
2021,Civil Engineering,75,10,8,5,6,12,32,30,4,3,4,5,6,7,5,4,4
2021,Mechanical Engineering,85,14,9,5,7,14,36,30,5,3,4,6,8,9,7,5,6
2021,Electrical Engineering,75,9,7,4,5,11,33,26,4,3,3,4,5,6,5,4,3
2021,Chemical Engineering,65,7,5,3,4,11,25,20,2,2,3,3,4,5,4,3,4
2022,Computer Engineering,75,10,8,5,6,12,34,28,4,2,3,4,6,7,8,6,3
2022,Civil Engineering,80,12,7,6,8,15,32,35,3,4,5,5,7,8,6,4,6
2022,Mechanical Engineering,85,14,9,5,7,14,36,30,5,3,4,6,8,9,7,5,6
2022,Electrical Engineering,70,8,6,4,5,10,30,24,3,2,3,4,5,6,5,4,4
2022,Chemical Engineering,65,7,5,3,4,11,25,20,2,2,3,3,4,5,4,3,4
2023,Computer Engineering,70,9,7,4,5,11,34,25,5,2,3,4,5,6,4,3,3
2023,Civil Engineering,75,10,8,5,6,12,32,30,4,3,4,5,6,7,5,4,4
2023,Mechanical Engineering,85,14,9,5,7,14,36,30,5,3,4,6,8,9,7,5,6
2023,Electrical Engineering,75,9,7,4,5,11,33,26,4,3,3,4,5,6,5,4,3
2023,Chemical Engineering,65,7,5,3,4,11,25,20,2,2,3,3,4,5,4,3,4
